status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,ScoreTextBlob,ScoreVader,ScoreAzure,ScoreStanfordCoreNLP,ScoreGoogleNLP,ScoreIBMNLP
10804098278_10155977546188279,,Rahimafrooz,photo,https://www.facebook.com/Rahimafrooz/photos/a.168965916511303.41763.138258282915400/1713402655400947/?type=3,2017-12-31 22:38:41,22,1,0,21,1,0,0,0,0,0,0.00,0.00,-1000.00,-1000.00,0.00,-1000.00
10804098278_10155971987718279,"We are excited to announce that, we are the grocery partner of this season’s Rupchanda- The Daily Star Super Chef 2018. 
For registrations, please call 09612777888.
Registration timeline- 30th Dec'17 to 8th Jan'18 (Everyday, 9AM to 6PM).",,photo,https://www.facebook.com/Agora.Rahimafrooz/photos/a.10150457636633279.382039.10804098278/10155971984688279/?type=3,2017-12-30 01:40:07,76,2,0,73,1,1,1,0,0,0,0.13,0.82,-1000.00,2.00,0.20,0.90
10804098278_10155948547638279,"Agora: Veola Oil 5L 60tk off, Golda Chingri 470/kg, Nazirshail Premium 58/kg, Grapes Red 359/kg. For more offers please click: https://goo.gl/Eozbu8",,video,https://www.facebook.com/Agora.Rahimafrooz/videos/10155948547638279/,2017-12-21 14:00:00,25,5,0,25,0,0,0,0,0,0,0.20,0.38,-1000.00,2.00,0.20,0.00
10804098278_10155942811348279,"Turn your everyday spending into amazing rewards.
Introducing the Agora American Express® Card issued by City Bank.
For details, please visit: https://goo.gl/R2EgYT","The City Bank Limited, Bangladesh",video,https://www.facebook.com/TheCityBank/videos/1525943990774064/,2017-12-19 02:00:58,32,1,1,31,0,1,0,0,0,0,0.13,0.85,-1000.00,3.00,0.30,0.76
10804098278_10155930314983279,"Beef 465/kg, ACI Oil 5L 40tk off, Chicken (Skinless) 209/kg, New Potato 29/kg, Telapia 400G+ 149/kg. For more offers please click: https://goo.gl/Eozbu8",,video,https://www.facebook.com/Agora.Rahimafrooz/videos/10155930314983279/,2017-12-14 14:53:58,537,7,10,526,7,4,0,0,0,0,0.03,0.38,-1000.00,2.00,0.30,0.00
10804098278_10155923605713279,"Get welcome gift voucher of Tk. 2000 to shop at Agora.
Introducing The Agora American Express® Card Issued by City Bank.
For details, please visit: https://goo.gl/R2EgYT","The City Bank Limited, Bangladesh",video,https://www.facebook.com/TheCityBank/videos/10213916927735889/,2017-12-12 03:36:49,24,0,0,22,2,0,0,0,0,0,0.40,0.80,-1000.00,3.00,0.30,0.72
10804098278_10155923291423279,"With City Shield, we are there for you when you need us the most.
Introducing The Agora American Express Card® Issued by City Bank.
For details, please visit: https://goo.gl/R2EgYT","The City Bank Limited, Bangladesh",video,https://www.facebook.com/TheCityBank/videos/10213885007097893/,2017-12-12 00:16:04,17,0,0,17,0,0,0,0,0,0,0.25,0.32,-1000.00,2.00,0.10,0.60
10804098278_10155918216053279,"Agora participated in AIUB Job Fair 2017 on Saturday, 9th December. We received immense and spontaneous response from this fair and a crest for participation which was handed over by Mr. R. Tareque Moudud FCMA Director, Office of Placement & Alumni (OPA) and Mr. S.A.M. Monjur Hossain Khan, Director, Student Affairs to Team Agora HR.
We thank all the students who came to our stall and the AIUB authority for having us at the fair!",,photo,https://www.facebook.com/Agora.Rahimafrooz/photos/a.10150457636633279.382039.10804098278/10155918214603279/?type=3,2017-12-10 02:33:02,113,0,2,111,0,1,1,0,0,0,0.57,0.83,-1000.00,2.00,0.50,0.71
10804098278_10155912509933279,"Earn 10 Agora Aponjon points on every Tk. 100 spent at Agora outlets.
Introducing The Agora American Express® Card Issued by City Bank.
For details, please visit: https://goo.gl/R2EgYT","The City Bank Limited, Bangladesh",video,https://www.facebook.com/TheCityBank/videos/1520553247979805/,2017-12-08 01:03:03,43,1,0,42,0,1,0,0,0,0,-0.05,0.32,-1000.00,2.00,0.20,0.60
10804098278_10155912246458279,"Agora Fish Fair! Elish 500G+ 360/pc,Pungash 1KG+ 99/kg,Rui 1KG+ 190/kg,Golda Chingri 460/kg,Telapia 200-400G 99/kg. For more offers visit: https://goo.gl/Eozbu8",,video,https://www.facebook.com/Agora.Rahimafrooz/videos/10155912246458279/,2017-12-07 22:12:21,999,8,35,978,11,7,3,0,0,0,0.49,0.38,-1000.00,2.00,0.30,0.69
10804098278_10155910483548279,,"The City Bank Limited, Bangladesh",link,https://goo.gl/R2EgYT,2017-12-07 08:55:24,16,0,0,16,0,0,0,0,0,0,0.00,0.00,-1000.00,-1000.00,0.00,-1000.00
10804098278_10155909584253279,,Agora Amex card launched,link,http://www.thedailystar.net/business/agora-amex-card-launched-1501423,2017-12-06 23:08:33,147,4,11,143,3,1,0,0,0,0,0.00,0.00,-1000.00,-1000.00,0.00,-1000.00
10804098278_10155909521213279,,,video,https://www.facebook.com/Agora.Rahimafrooz/videos/10155909521213279/,2017-12-06 22:19:58,7,0,0,7,0,0,0,0,0,0,0.00,0.00,-1000.00,-1000.00,0.00,-1000.00
10804098278_10155907660673279,,"The City Bank Limited, Bangladesh",video,https://www.facebook.com/TheCityBank/videos/1519375164764280/,2017-12-06 07:55:14,29,0,0,29,0,0,0,0,0,0,0.00,0.00,-1000.00,-1000.00,0.00,-1000.00
10804098278_10155906877808279,Agora thanks Rajshahi Kings to choose them as the team's merchandise partner in this season of BPL and wishes them good luck for the next season...,,photo,https://www.facebook.com/Agora.Rahimafrooz/photos/a.10150457636633279.382039.10804098278/10155906877678279/?type=3,2017-12-05 22:52:10,67,0,0,64,1,0,1,1,0,0,0.30,0.86,-1000.00,3.00,0.70,0.91
10804098278_10155904438628279,"Congratulations the winners!!! 
•         Mr. Abrar Farook
•         Ms. Afroza Begum
•         Ms. Farhana Shirin Sultana
•         Mr. Rafizul Hasan
They are the four of our lucky shoppers who got a great opportunity to have breakfast with the Rajshahi Kings players at Pan Pacific Sonargaon Hotel on 3rd December, 2017.",,photo,https://www.facebook.com/Agora.Rahimafrooz/photos/a.10150457636633279.382039.10804098278/10155904428638279/?type=3,2017-12-05 05:21:10,119,1,2,116,2,0,0,1,0,0,0.57,0.96,-1000.00,2.00,0.70,0.90
