status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,ScoreTextBlob,ScoreVader,ScoreAzure,ScoreStanfordCoreNLP,ScoreGoogleNLP,ScoreIBMNLP
399030656818342_1542787012442695,Welcome to 2018,Welcome 2018!,video,https://www.facebook.com/Shwapno.ACILL/videos/1542787012442695/,2017-12-31 11:20:55,113,1,20,106,6,1,0,0,0,0,0.80,0.46,-1000.00,2.00,0.60,0.88
399030656818342_1542503179137745,"আগামী ১ ঘন্টার জন্যে (বিকাল ৫টা থেকে সন্ধ্যা ৬টা পর্যন্ত) shwapno.com/byebye2017 এ ক্লিক করলে থাকছে BUY1 GET1 FREE OFFER

২০১৭ কে জানান সালাম আর জিতে নিন পিঁয়াজ, আলু, লবন, চিনি, তেল, মাংস, বিস্কুট, চিপস, কোক, পেপসি, চকোলেট এবং অন্যান্য পণ্যের উপর BUY1 GET1 FREE

*শুধুমাত্র shwapno.com এর জন্যে
*বিকাল ৫টা থেকে সন্ধ্যা ৬টা পর্যন্ত
*শর্ত প্রযোজ্য
*কল করুন 16469 (সন্ধ্যা ৭টা পর্যন্ত)
*বাজার হতে হবে ৩০০ থেকে ৫০০ টাকার মধ্যে",,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1542500642471332/?type=3,2017-12-31 05:54:34,292,33,5,277,1,2,7,1,4,0,0.40,0.84,-1000.00,1.00,0.70,-1000.00
399030656818342_1542500182471378,"দেখতে দেখতে শেষ হয়ে গেল ২০১৭। আজ তাই shwapno.com এ পুরনো বছরে (আজ রাত ১২টার আগে) অর্ডার করা শেষ ৩ কাস্টমার এবং নুতন বছরে (রাত ১২টার পরে) অর্ডার করা প্রথম ৩ কাস্টমার পাবেন আকর্ষণীয় GIFT HAMPER

সবাইকে ইংরেজি নববর্ষের শুভেচ্ছা!

www.shwapno.com
Call 16469 (9am-7pm)",,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1542492005805529/?type=3,2017-12-31 05:49:15,134,3,2,129,0,3,2,0,0,0,0.00,0.60,-1000.00,2.00,0.30,-1000.00
399030656818342_1541757862545610,"ছাড়ের ছড়াছড়ি
শুরু হোক কাড়াকাড়ি

Lizol, Trix, Harpic, Veet, Airwick, Mr. Brasso, Dettol পণ্যের উপর সর্বোচ্চ ডিস্কাউন্ট পেতে ক্লিক করুন shwapno.com/reckittbangladesh লিংকে

চলবে ২রা জানুয়ারী ২০১৮ পর্যন্ত
Call 16469 (9am-7pm)",,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.754702427917828.1073741852.399030656818342/1541757819212281/?type=3,2017-12-30 09:43:22,167,4,2,166,0,1,0,0,0,0,0.00,0.00,-1000.00,1.00,0.00,-1000.00
399030656818342_1541632669224796,"ছাড়ের ছড়াছড়ি
শুরু হোক কাড়াকাড়ি

আড়ং ডেইরির পণ্যের উপর সর্বোচ্চ ডিস্কাউন্ট পেতে ক্লিক করুন shwapno.com/aarongdairy লিংকে

চলবে ২রা জানুয়ারী ২০১৮ পর্যন্ত
Call 16469",,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.754702427917828.1073741852.399030656818342/1541632639224799/?type=3,2017-12-30 06:46:40,206,4,1,203,1,1,1,0,0,0,0.00,0.00,-1000.00,2.00,0.00,-1000.00
399030656818342_1540097592711637,"পুরনো বছরকে বিদায় আর নতুন বছরকে বরণ করে নিন রাজার হালে!
বাজার করুন ১০০০ টাকা বা তার বেশি মুল্যের আর জিতে নিন ১টি আকর্ষণীয় পানির বোতল!!!

ক্লিক করুন shwapno.com/offers লিংকে এবং দেখুন কি কি থাকছে আপনার জন্যে;

* Lizol Floor Cleaner এ ২৫ টাকা ছাড়!
* Trix Dish Washing Liquid এ ১২ টাকা ছাড়!
* Trix Dish Washing Bar এ ৩ টাকা ছাড়!
* Harpic Liquid Toilet Cleaner এ ২০ টাকা ছাড়!
* Harpic Bathroom Cleaning Powder এ ৩০ টাকা ছাড়!
* Dettol পণ্যে ৪ টাকা থেকে ১৭ টাকা পর্যন্ত ছাড়!
* Aarong টক দই এ থাকছে ১০ টাকা ছাড়!
* Aarong মিষ্টি দই এ থাকছে ১৫ টাকা ছাড়!
* Aarong UHT Chocolate Milk এ থাকছে ৪ টাকা ছাড়!
* Aarong ঘি ও মাখন এ থাকছে ৭ টাকা থেকে ৫০ টাকা ছাড়!
* Unilever Pure It এ থাকছে ৩০০ টাকা ছাড়!

এছারাও মিনিকেট প্রিমিয়াম চাল প্রতি কেজি মাত্র ৫৫ টাকায়, নাজিরশাইল প্রিমিয়াম চাল প্রতি কেজি মাত্র ৫৭ টাকায়, পুষ্টি সয়াবিন তেল ৫ লিটার মাত্র ৪৭০ টাকায় সহ আরও অনেক ছাড়

এ তো ছাড়ের ছড়াছড়ি! শুরু হয়ে যাক কাড়াকাড়ি!!

অফারগুলো শুধুমাত্র www.shwapno.com এর জন্যে প্রযোজ্য। কল করুন 16469 নম্বরে (সকাল ৯টা থেকে সন্ধ্যা ৭টা)",,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1540084052712991/?type=3,2017-12-28 10:16:55,2776,29,17,2655,17,7,95,0,2,0,0.18,0.55,-1000.00,2.00,0.20,0.49
399030656818342_1540072926047437,"|| Trance || Shwapno Winter Fashion Film 2017 ||
|| A Tribute to Risila Binte Wazer ||

Concept & Direction: Sabbir Hasan Nasir
Art Direction: Fariduzzaman
DOP: Fahin Arafin
Editing & VFX: Fahin Arafin & Tahsin Hossain
Model: Syed Ruma, Azad Farhana Limi & Shoron Rahman
Makeup: Sohag Tanvir",#WinterFashionFim2017,video,https://www.facebook.com/Shwapno.ACILL/videos/1540072926047437/,2017-12-28 09:54:50,1156,21,67,1105,25,10,13,1,1,1,0.00,0.00,-1000.00,1.00,0.80,0.00
399030656818342_1539850109403052,"""shwapno.com & Lizol Bangladesh presents
YEAR END MEGA SALE
powered by Aarong Dairy""

Click shwapno.com/offers to explore

Enjoy craziest discounts on more than 100 items that includes Lizol, Trix, Harpic, Veet, Dettol, Aarong Sour Curd, Aarong Sweetened Yogurt, Ghee, Butter and all sorts of rice, onions, oils and others!

This is sure to be the biggest deal of the year!!! In addition to all these, shop for tk. 1000 or above to win a Water Bottle absolutely FREE!

*Offer for www.shwapno.com only
*Conditions Apply
*Call 16469 for details (9am-7pm)",,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1539847039403359/?type=3,2017-12-28 04:11:51,1152,17,16,1131,4,9,7,0,0,1,0.37,0.94,-1000.00,2.00,0.40,0.57
399030656818342_1538210642900332,"Only for Loyal Customers of #Shwapno
20% Off in Restaurants & up to 40% off in Rooms

Visit Hotel Sarina Dhaka today & enjoy the benefits showing your #Shwapno Loyalty Card at billing counter of Hotel Sarina.

Call 16469 for more details.",,photo,https://www.facebook.com/Shwapno.ACILL/photos/a.399106963477378.104125.399030656818342/1538209642900432/?type=3,2017-12-26 06:47:18,150,3,14,143,1,6,0,0,0,0,0.31,0.91,-1000.00,2.00,0.20,0.00
399030656818342_1536515993069797,"#Molasses Cake_Merry Christmas!

🌹Merry time with Molasses Cake, made of sweet butter sauce & dry fruits with a touch of love for this Xmas. Merry Christmas! 🎄

Ingredients are at your reach in all Shwapno outlets.",#Molasses Cake _ Merry Christmas,video,https://www.facebook.com/Shwapno.ACILL/videos/1536515993069797/,2017-12-24 09:40:58,70,1,3,65,2,3,0,0,0,0,0.30,0.94,-1000.00,3.00,0.40,0.81
