comment_id,status_id,parent_id,comment_message,comment_author,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
1232627263508821_1235872156517665,407422362695986_1232627263508821,,এটা কি hoiya gese...hoilew kobe hoise janlam nato....ar kothay hoise,Shovon Rahman,2017-10-21 07:55:01,15,15,0,0,0,0,0,0
1232627263508821_1235932053178342,407422362695986_1232627263508821,1232627263508821_1235872156517665,"Dear Shovon Rahman,
Please, keep an eye on our Facebook Page for knowing about all our upcoming campaigns. We would let you know the participation procedures there. Thank you. :)",Lifebuoy,2017-10-21 09:15:01,4,4,0,0,0,0,0,0
1232627263508821_708349389370145,407422362695986_1232627263508821,1232627263508821_1235872156517665,in our DRMC camps,অদ্ভুত বালক,2017-10-24 10:06:17,0,0,0,0,0,0,0,0
1232627263508821_1236685743102973,407422362695986_1232627263508821,,I am a part of this would record,Sb Sojeeb,2017-10-22 08:45:44,11,10,1,0,0,0,0,0
1232627263508821_1237285123043035,407422362695986_1232627263508821,1232627263508821_1236685743102973,"Dear Sb Sojeeb,
Thanks for participating. Stay with us. 
Thank you. :)",Lifebuoy,2017-10-23 03:15:51,5,5,0,0,0,0,0,0
1232627263508821_151985995409055,407422362695986_1232627263508821,1232627263508821_1236685743102973,Lifebuoy jekhAne ami ashi sekhane.,Rabeya Bela,2017-10-24 14:22:38,0,0,0,0,0,0,0,0
1232627263508821_1236491553122392,407422362695986_1232627263508821,,I am a part of this world record,Sad Moment,2017-10-22 03:15:23,8,8,0,0,0,0,0,0
1232627263508821_1236498193121728,407422362695986_1232627263508821,1232627263508821_1236491553122392,"Hi, Kala Jahangir!
Thank you for participating. We really appreciate your efforts. :)",Lifebuoy,2017-10-22 03:30:08,4,3,0,0,1,0,0,0
1232627263508821_1236536353117912,407422362695986_1232627263508821,1232627263508821_1236491553122392,It's okk,Sad Moment,2017-10-22 04:32:02,1,0,0,0,1,0,0,0
1232627263508821_1236536723117875,407422362695986_1232627263508821,1232627263508821_1236491553122392,But my name is not kala jahangir. I am sazid,Sad Moment,2017-10-22 04:33:08,3,1,0,0,2,0,0,0
1232627263508821_1236916829746531,407422362695986_1232627263508821,1232627263508821_1236491553122392,hahaha.. very funny,Md Sajib Hossain,2017-10-22 14:35:50,3,2,0,0,1,0,0,0
1232627263508821_1234057516699129,407422362695986_1232627263508821,,[[PHOTO]],MH Shakil,2017-10-18 22:44:34,98,91,6,0,0,0,1,0
1232627263508821_1234061633365384,407422362695986_1232627263508821,1232627263508821_1234057516699129,"Hi, MH Shakil!
Thank you for participating. We really appreciate your efforts. :)",Lifebuoy,2017-10-18 22:54:36,13,11,0,1,1,0,0,0
1232627263508821_1236046063166941,407422362695986_1232627263508821,1232627263508821_1234057516699129,Lifebuoy hlw vaiya kazipur ki asben lifebuoy kso tottu dite,SN Alomgir Hossen Jojo,2017-10-21 12:07:17,0,0,0,0,0,0,0,0
1232627263508821_1236597133111834,407422362695986_1232627263508821,1232627263508821_1234057516699129,"Dear MC Alomgir Hossen Jojo,
Please, keep an eye on our Facebook Page for knowing about all our upcoming campaigns. We would let you know the participation procedures there. Thank you. :)",Lifebuoy,2017-10-22 06:35:40,1,1,0,0,0,0,0,0
1232627263508821_151880522086269,407422362695986_1232627263508821,1232627263508821_1234057516699129,koty eta,Mohammad Najmul Islam,2017-10-24 05:41:43,1,1,0,0,0,0,0,0
1232627263508821_806249912890820,407422362695986_1232627263508821,1232627263508821_1234057516699129,"Dear Mohammad Najmul Islam,
The place of the campaign was Dhaka Residential Model College ground",Lifebuoy,2017-10-25 03:41:02,0,0,0,0,0,0,0,0
1232627263508821_1232853296819551,407422362695986_1232627263508821,,[[PHOTO]],MD S Arefin,2017-10-17 10:03:46,89,75,7,1,2,2,2,0
1232627263508821_1233511536753727,407422362695986_1232627263508821,1232627263508821_1232853296819551,কোন জাগায় হয়েছে এ অনুষ্টান,MD Shihab Uddin,2017-10-18 06:50:46,1,1,0,0,0,0,0,0
1232627263508821_1233522476752633,407422362695986_1232627263508821,1232627263508821_1232853296819551,"Dear MD Shihab Uddin,
The place of the campaingn was Dhaka Residential Model College ground",Lifebuoy,2017-10-18 07:11:09,8,6,2,0,0,0,0,0
1232627263508821_1233531500085064,407422362695986_1232627263508821,1232627263508821_1232853296819551,অনেক সুন্দর হয়েছে। দন্যবাদ লাইফবয় পরিবারকে,MD Shihab Uddin,2017-10-18 07:26:15,2,2,0,0,0,0,0,0
1232627263508821_1233552560082958,407422362695986_1232627263508821,1232627263508821_1232853296819551,"আপনাকেও ধন্যবাদ,,,",MD S Arefin,2017-10-18 08:01:33,0,0,0,0,0,0,0,0
1232627263508821_1233708836733997,407422362695986_1232627263508821,1232627263508821_1232853296819551,[[STICKER]],Md Mahedi Hasan,2017-10-18 11:44:08,1,1,0,0,0,0,0,0
1232627263508821_1233715536733327,407422362695986_1232627263508821,1232627263508821_1232853296819551,What happen?,MD S Arefin,2017-10-18 11:56:29,0,0,0,0,0,0,0,0
1232627263508821_1234992349938979,407422362695986_1232627263508821,1232627263508821_1232853296819551,good,Amirul Islam,2017-10-20 05:24:19,1,1,0,0,0,0,0,0
1232627263508821_1233480936756787,407422362695986_1232627263508821,,[[PHOTO]],Ãsädûl Íslàm Åsåd,2017-10-18 05:54:15,22,18,3,0,0,0,1,0
1232627263508821_1235851536519727,407422362695986_1232627263508821,1232627263508821_1233480936756787,Kon college bhai?,Arisha Rahman,2017-10-21 07:20:37,1,1,0,0,0,0,0,0
1232627263508821_1235932716511609,407422362695986_1232627263508821,1232627263508821_1233480936756787,"Dear Arisha Rahman,
The place of the campaingn was Dhaka Residential Model College ground :)",Lifebuoy,2017-10-21 09:16:03,1,1,0,0,0,0,0,0
1232627263508821_1236025833168964,407422362695986_1232627263508821,1232627263508821_1233480936756787,I knew that☺,Arisha Rahman,2017-10-21 11:36:14,1,1,0,0,0,0,0,0
1232627263508821_362547334195369,407422362695986_1232627263508821,1232627263508821_1233480936756787,Amra saic institute of management and technology college theke gecilam,Ãsädûl Íslàm Åsåd,2017-10-27 21:34:40,0,0,0,0,0,0,0,0
1232627263508821_1234601746644706,407422362695986_1232627263508821,,[[PHOTO]],Akash Ahmed,2017-10-19 15:36:46,19,19,0,0,0,0,0,0
1232627263508821_1234734813298066,407422362695986_1232627263508821,1232627263508821_1234601746644706,"Hi, Akash Ahmed!
Thank you for participating. We really appreciate your efforts. :)",Lifebuoy,2017-10-19 20:28:15,0,0,0,0,0,0,0,0
1232627263508821_1236713479766866,407422362695986_1232627263508821,1232627263508821_1234601746644706,তোমরাইত আগামি দিনের ভবিশৎ,রুবেল আপন রানা চাকরিজিবী,2017-10-22 09:29:47,0,0,0,0,0,0,0,0
1232627263508821_1234158896688991,407422362695986_1232627263508821,,Misss korlam...kothay silo ata dhakar?,Md Samrat Hossan,2017-10-19 02:32:29,6,5,0,0,0,0,1,0
1232627263508821_1234495373322010,407422362695986_1232627263508821,1232627263508821_1234158896688991,"Dear Md Samrat Hossan,
The place of the campaingn was Dhaka Residential Model College ground.
Thank you :)",Lifebuoy,2017-10-19 12:03:34,0,0,0,0,0,0,0,0
1232627263508821_1234496203321927,407422362695986_1232627263508821,1232627263508821_1234158896688991,"Tnq u soo much.
Lifebuoy is the best love it.",Md Samrat Hossan,2017-10-19 12:05:11,0,0,0,0,0,0,0,0
1232627263508821_1237271099711104,407422362695986_1232627263508821,,I love you lifebuoy''',Md Roficul Islam,2017-10-23 02:45:09,2,2,0,0,0,0,0,0
1232627263508821_1237274266377454,407422362695986_1232627263508821,1232627263508821_1237271099711104,"Dear Md Roficul Islam,
Thank you for supporting us, stay with us. :)",Lifebuoy,2017-10-23 02:52:34,0,0,0,0,0,0,0,0
1232627263508821_1237240053047542,407422362695986_1232627263508821,,I love lifebuoy,Hridoy Hridoy,2017-10-23 01:33:31,1,1,0,0,0,0,0,0
1232627263508821_1237247466380134,407422362695986_1232627263508821,1232627263508821_1237240053047542,"Dear Hridoy Hridoy,
Thank you for supporting us, stay with us! :)",Lifebuoy,2017-10-23 01:53:41,0,0,0,0,0,0,0,0
1232627263508821_1234582009980013,407422362695986_1232627263508821,,আমিও ছিলাম [[PHOTO]],Ismail Khan,2017-10-19 14:52:55,14,14,0,0,0,0,0,0
1232627263508821_1234734969964717,407422362695986_1232627263508821,1232627263508821_1234582009980013,"Hi, Ismail Khan!
Thank you for participating. We really appreciate your efforts. :)",Lifebuoy,2017-10-19 20:28:34,2,2,0,0,0,0,0,0
