status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
407422362695986_1232627263508821,"On this Global Handwashing Day Lifebuoy created history along with more than 11,000 Bangladeshi children by aiming for the GUINNESS WORLD RECORDS™ title of Largest Human Image of a Hand.  #High5forHandwashing",Largest Human Image of a Hand by Lifebuoy Bangladesh,video,https://www.facebook.com/lifebuoybangladesh/videos/1232627263508821/,2017-10-17 04:52:19,226310,1186,2940,221438,2617,1757,343,73,82,0
407422362695986_1231476760290538,"On this Global Handwashing Day Lifebuoy created history along with more than 11,000 Bangladeshi children by aiming for the GUINNESS WORLD RECORDS™ title. #High5forHandwashing",Largest Human Image of a Hand by Lifebuoy,video,https://www.youtube.com/watch?v=O21HXAPGUoc%3Futm_source%3Dfacebook-promotions&utm_medium=social&utm_campaign=gwr-ghd&utm_term=ghd2017&utm_content=lifebuoy,2017-10-15 13:58:44,53644,293,239,53136,250,175,60,7,16,0
407422362695986_1231320593639488,"High5 for Shakib!! 
একদিনের আন্তর্জাতিক ম্যাচে ৫০০০ রানের ক্লাবে স্বাগতম তোমাকে। #High5forHandwashing",,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/1231320186972862/?type=3,2017-10-15 10:36:02,132144,264,104,130944,691,134,346,8,21,0
407422362695986_1231033873668160,বিশ্ব হাত ধোয়া দিবসে হাত ধোয়ার মত জীবন রক্ষাকারী অভ্যাস সম্পর্কে সচেতন করতে যে শিশুরা অংশ নিয়েছিল তাদের শুভ কামনা জানিয়েছেন বিশ্ব সেরা অল রাউন্ডার সাকিব আল হাসান।,,video,https://www.facebook.com/lifebuoybangladesh/videos/1231033873668160/,2017-10-15 04:31:39,8411,80,109,8130,160,15,100,2,4,0
407422362695986_1230914853680062,"বিশ্ব হাত ধোয়া দিবস ২০১৭ উপলক্ষে Largest Human Image of a Hand তৈরী করার মাধ্যমে GUINNESS WORLD RECORDS™ title অর্জনের উদ্যোগ নিয়েছে লাইফবয়। বাচ্চাদের সঠিক নিয়মে হাত ধোয়ার মতো একটি জীবন রক্ষাকারী অভ্যাস শেখাতে এবং এই বিষয়ে সচেতনতা সৃষ্টি করতে লাইফবয়-এর সাথে এই উদ্দ্যোগে অংশ নিয়েছে বাংলাদেশের ১১,০০০-এরও বেশি ছাত্র-ছাত্রী। #High5forHandwashing",,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/1230913760346838/?type=3,2017-10-15 00:03:11,796820,3843,3713,786992,4310,4445,857,98,118,0
407422362695986_1230906020347612,,Lifebuoy's cover photo,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407785259326363.1073741828.407422362695986/1230905860347628/?type=3,2017-10-14 23:40:41,461,2,3,448,10,3,0,0,0,0
407422362695986_1228115200626694,স্ক্রিনশট নিয়ে করো হাই ফাইভ। প্রতিটা হাই ফাইভ এর জন্য আমরা ৫টি শিশুকে শেখাবো হাত ধোয়ার অভ্যাস। #High5forHandwashing,,video,https://www.facebook.com/lifebuoybangladesh/videos/1228115200626694/,2017-10-11 10:00:01,5197,843,37,4977,82,19,106,5,8,0
407422362695986_1223972471040967,"সাকিবের হাই ফাইভ করার কারণ গুলো জানলেন। একটা  ভালো কারনেও আপনারা হাই ফাইভ করতে পারেন, সেটা হল সঠিক নিয়মে হ্যান্ড ওয়াশিং। #High5forHandwashing দিয়ে কমেন্ট করুণ। আপনার প্রতিটি হাই ফাইভ এর জন্য লাইফবয় টিম ৫ জন শিশু কে সঠিক নিয়মে হ্যান্ড ওয়াশিং শিখাবে।",,video,https://www.facebook.com/lifebuoybangladesh/videos/1223972471040967/,2017-10-05 22:43:29,4900,46,165,4763,76,7,47,2,5,0
407422362695986_1222578087847072,"করো হাই ফাইভ। প্রতিটা হাই ফাইভ এর জন্য আমরা ৫টি শিশুকে শেখাবো হাত ধোয়ার অভ্যাস। 
তোমার হাই ফাইভ করা ছবি  #High5forHandwashing লিখে আপলোড করো ফেসবুক কিংবা ইন্সটাগ্রামে।",,photo,https://www.facebook.com/lifebuoybangladesh/photos/a.407425886028967.1073741825.407422362695986/1222577451180469/?type=3,2017-10-04 02:40:59,261572,495,258,260774,439,142,175,20,22,0
407422362695986_1220652091373005,মেয়ে নতুন কিছু শিখলে সাকিব তার সাথে হাই ফাইভ করে । আপনি কখন হাই ফাইভ করেন?,,video,https://www.facebook.com/lifebuoybangladesh/videos/1220652091373005/,2017-10-01 10:36:51,5469,47,130,5248,99,21,98,0,3,0
