status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,ScoreTextBlob,ScoreVader,ScoreAzure,ScoreStanfordCoreNLP,ScoreGoogleNLP,ScoreIBMNLP
220285161335347_1767586046605243,,Meena Bazar's cover photo,photo,https://www.facebook.com/meenabazar.bd/photos/a.388455877851607.91595.220285161335347/1767585963271918/?type=3,2018-01-01 02:14:15,66,0,0,65,1,0,0,0,0,0,0.00,0.00,-1000.00,-1000.00,0.00,-1000.00
220285161335347_1766565520040629,"Meena Bazar wishes you a very Happy New Year! We can't thank you enough for staying with us all these years. This new year, may we all be blessed with health and success. Let the 'freshness' never end.",,photo,https://www.facebook.com/meenabazar.bd/photos/a.285765634787299.73880.220285161335347/1766565073374007/?type=3,2017-12-31 13:01:00,101,1,0,99,1,0,0,0,1,0,0.32,0.91,-1000.00,3.00,0.40,0.08
220285161335347_1766522263378288,স্বাস্থ্যকর বাজারের নিশ্চয়তায় টনিকের পার্টনার এখন মীনা বাজার! বাজার করুন মীনা বাজারে আর নিশ্চিত করুন আপনার এবং আপনার পরিবারের সুস্বাস্থ্য।,,photo,https://www.facebook.com/meenabazar.bd/photos/a.285765634787299.73880.220285161335347/1766522103378304/?type=3,2017-12-31 07:46:51,8777,10,6,8745,17,10,5,0,0,0,0.00,0.00,-1000.00,2.00,0.00,-1000.00
220285161335347_1763527907011057,"মীনা বাজারে চলছে আকর্ষণীয় অফার। বিশেষ মূল্য ছাড়ে প্রাণ বাটার কিনতে চলে আসুন আপনার নিকটস্থ মীনা বাজার আউটলেটে।
অথবা অর্ডার করুন ‎09678666111 নম্বরে। অফারটি প্রযোজ্য ২৮ ডিসেম্বর, ২০১৭ থেকে ৩১ জানুয়ারি, ২০১৮ পর্যন্ত।",,photo,https://www.facebook.com/meenabazar.bd/photos/a.285765634787299.73880.220285161335347/1763526977011150/?type=3,2017-12-28 21:30:00,5331,1,2,5316,9,6,0,0,0,0,0.00,0.00,-1000.00,2.00,0.00,-1000.00
220285161335347_1763525563677958,"রিচ চিকেন নাগেটস এ চলছে আকর্ষণীয় ছাড়! আকর্ষণীয় এই অফার উপভোগ করতে আজই চলে আসুন আপনার নিকটস্থ মীনা বাজার আউটলেটে।
অথবা অর্ডার করুন ‎09678666111 নম্বরে। অফারটি প্রযোজ্য ২৮ ডিসেম্বর, ২০১৭ থেকে ১৩ জানুয়ারি, ২০১৮ পর্যন্ত।",,photo,https://www.facebook.com/meenabazar.bd/photos/a.285765634787299.73880.220285161335347/1763523533678161/?type=3,2017-12-28 21:00:00,4969,5,4,4955,7,1,5,0,1,0,0.00,0.00,-1000.00,2.00,0.00,-1000.00
220285161335347_1763058933724621,"Weekend ধামাকা অফারে আকর্ষণীয় ছাড়ে টার্কি কিনতে চলে আসুন আপনার নিকটস্থ মীনা বাজার আউটলেটে।
অথবা অর্ডার করুন ‎09678666111 নম্বরে। অফারটি প্রযোজ্য বৃহস্পতিবার থেকে শনিবার (৩১ ডিসেম্বর, ২০১৭) পর্যন্ত।",,photo,https://www.facebook.com/meenabazar.bd/photos/a.285765634787299.73880.220285161335347/1763058160391365/?type=3,2017-12-27 22:00:00,5196,11,21,5086,17,13,78,1,1,0,0.00,0.00,-1000.00,2.00,0.20,-1000.00
220285161335347_1763057740391407,"সপ্তাহের শেষ মানেই মীনা বাজারের weekend ধামাকা অফার! এই weekend ধামাকা অফারে আকর্ষণীয় ছাড়ে চামড়া ছাড়া ব্রয়লার মুরগি কিনতে চলে আসুন আপনার নিকটস্থ মীনা বাজার আউটলেটে। 
অফারটি প্রযোজ্য বৃহস্পতিবার থেকে শনিবার (৩১ ডিসেম্বর, ২০১৭) পর্যন্ত।",,photo,https://www.facebook.com/meenabazar.bd/photos/a.285765634787299.73880.220285161335347/1763057367058111/?type=3,2017-12-27 21:30:00,4755,2,4,4737,5,5,5,1,0,2,0.00,0.00,-1000.00,2.00,0.10,-1000.00
220285161335347_1763056633724851,"সপ্তাহের শেষ মানেই মীনা বাজারের weekend ধামাকা অফারের শুরু! এই weekend ধামাকা অফারে আকর্ষণীয় ছাড়ে হাড়সহ গরুর মাংস কিনতে আজই চলে আসুন আপনার নিকটস্থ মীনা বাজার আউটলেটে।
অথবা অর্ডার করুন ‎09678666111 নম্বরে। অফারটি প্রযোজ্য বৃহস্পতিবার থেকে শনিবার (৩১ ডিসেম্বর, ২০১৭) পর্যন্ত।",,photo,https://www.facebook.com/meenabazar.bd/photos/a.285765634787299.73880.220285161335347/1763056343724880/?type=3,2017-12-27 21:00:00,4938,5,4,4923,7,3,5,0,0,0,0.00,0.00,-1000.00,2.00,0.10,-1000.00
220285161335347_1762769337086914,"মীনা বাজারে চলছে Weekend ধামাকা অফার! এই ধামাকা অফারে আকর্ষণীয় ছাড়ে রুই মাছ এবং গলদা চিংড়ি কিনতে আজই চলে আসুন আপনার নিকটস্থ মীনা বাজার আউটলেটে। 
অথবা অর্ডার করুন ‎09678666111 নম্বরে। অফারটি প্রযোজ্য বৃহস্পতিবার (২৮ ডিসেম্বর, ২০১৭) থেকে রবিবার (৩১ ডিসেম্বর, ২০১৭) পর্যন্ত।",,photo,https://www.facebook.com/meenabazar.bd/photos/a.285765634787299.73880.220285161335347/1762769170420264/?type=3,2017-12-27 10:30:00,5888,5,6,5857,11,5,13,0,1,1,0.00,0.00,-1000.00,2.00,0.10,-1000.00
220285161335347_1762768053753709,"মীনা বাজারের Weekend ধামাকা অফার - এ চলছে আকর্ষণীয় অফার! এখন ৪০০ মিলি. ভ্যাসলিন ইনটেনসিভ কেয়ার ডিপ রি লোশন কিনলে পাচ্ছেন একটি ট্রেসেমি ২০০ মিলি. কন্ডিশনার সম্পূর্ণ ফ্রি! দেরি না করে আজই চলে আসুন আপনার নিকটস্থ মীনা বাজার আউটলেটে। 
অথবা অর্ডার করুন ‎09678666111 নম্বরে। অফারটি প্রযোজ্য বুধবার (২৭ ডিসেম্বর, ২০১৭) থেকে রবিবার (৩১ ডিসেম্বর, ২০১৭) পর্যন্ত।",,photo,https://www.facebook.com/meenabazar.bd/photos/a.285765634787299.73880.220285161335347/1762767687087079/?type=3,2017-12-27 10:00:00,5294,12,8,5280,9,4,0,0,0,1,0.00,0.00,-1000.00,2.00,0.10,-1000.00
